|1120049354|  10|1110016974|    10|V    |LF   |AT01 |MY01 |2002408 |            |            |ZMC |Z002|  |  |95022182827       |Multichip DB2210 evo (Hutchinson #5)    |      1 |PC |          |21.11.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M91|P01 |P01  |
|1120049356|  10|1110016977|    10|V    |LF   |AT01 |MY01 |2002408 |            |            |ZMC |Z002|  |  |95022182828       |Multichip DB2210 evo (Hutchinson #6)    |      1 |PC |          |21.11.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M91|P01 |P01  |
|1120050615|  10|1110017296|    10|V    |LF   |AT01 |MY01 |2000715 |            |            |ZMC |Z001|  |  |95022182793       |Multichip DB2210 evo (Unisem Chengdu #5)|      1 |PC |          |30.11.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M91|P01 |P01  |
|1120046490|  10|1110017513|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022182750       |Multichip Die Bonder 2210 evo           |      1 |PC |          |21.10.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120051785|  10|1110017516|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022182773       |Multichip Die Bonder 2210 evo           |      1 |PC |          |09.12.2011|          |     0.000 |05.12.2011|     1.000 |        2 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120051786|  10|1110017524|    10|V    |LF   |MY10 |MY01 |28001   |JIUN        |            |ZINT|Z0SP|  |  |95022182774       |Multichip Die Bonder 2210 evo           |      1 |PC |          |09.12.2011|          |     0.000 |05.12.2011|     1.000 |        2 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120046536|  10|1110017526|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022282787       |Multichip Die Bonder 2220evo            |      1 |PC |          |21.10.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120051787|  10|1110017531|    10|V    |LF   |MY10 |MY01 |28001   |JIUN        |            |ZINT|Z0SP|  |  |95022182775       |Multichip Die Bonder 2210 evo           |      1 |PC |          |09.12.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120047281|  10|1110017532|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022282747       |Multichip Die Bonder 2210 evo           |      1 |PC |14.10.2011|31.10.2011|14.10.2011|     0.000 |21.10.2011|     1.000 |        2 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120051788|  10|1110017563|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022182776       |Multichip Die Bonder 2210 evo           |      1 |PC |          |09.12.2011|          |     0.000 |05.12.2011|     1.000 |        2 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M91|P03 |P03  |
|1120045715|  10|1110017564|    10|V    |LF   |MY10 |MY01 |28001   |JIUN        |            |ZINT|Z0SP|  |  |95022282763       |Multichip Die Bonder 2220evo            |      1 |PC |          |14.10.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120045853|  10|1110017567|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022182769       |Multichip Die Bonder 2200evo            |      1 |PC |          |17.10.2011|          |     1.000 |          |     0.000 |        1 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
|1120051789|  10|1110017570|    10|V    |LF   |MY10 |MY01 |28001   |MANG        |            |ZINT|Z0SP|  |  |95022182777       |Multichip Die Bonder 2210 evo           |      1 |PC |          |09.12.2011|          |     0.000 |05.12.2011|     1.000 |        2 |          |          |        0 |          |     0.000 |          |    0.000 |        0 |1030      |M02|M02 |     |
