Month	Year	2200EVO	8800FCQ, RFID	TCB & Chameo	DB2100	DB2009	Molding	FCL	FSL	Plating	
10	2011	9	2	0	0	0	0	0	0	0	
11	2011	13	4	0	0	0	0	0	0	0	
12	2011	21	1	0	0	0	0	0	0	0	
1	2012	11	1	0	0	0	0	0	0	0	
2	2012	8	4	0	0	0	0	0	0	0	
3	2012	27	4	0	0	0	0	0	0	0	
4	2012	21	5	0	0	0	0	0	0	0	
5	2012	28	7	0	0	0	0	0	0	0	
6	2012	39	10	0	0	0	0	0	0	0	
7	2012	19	3	0	0	0	0	0	0	0	
8	2012	12	8	0	0	0	0	0	0	0	
9	2012	14	5	0	0	0	0	0	0	0	
10	2012	12	0	0	0	0	0	0	0	0	
11	2012	8	1	0	0	0	0	0	0	0	
12	2012	11	2	0	0	0	0	0	0	0	
1	2013	5	4	0	0	0	0	0	0	0	
2	2013	8	7	0	0	0	0	0	0	0	
3	2013	21	10	0	0	0	0	0	0	0	
4	2013	15	8	0	0	0	0	0	0	0	
5	2013	16	9	0	0	0	0	0	0	0	
6	2013	14	8	0	0	0	0	0	0	0	
7	2013	7	5	0	0	0	0	0	0	0	
8	2013	13	1	0	0	0	0	0	0	0	
9	2013	21	2	0	0	0	0	0	0	0	
10	2013	9	1	0	0	0	0	0	0	0	
11	2013	16	2	0	0	0	0	0	0	0	
12	2013	22	1	0	0	0	0	0	0	0	
1	2014	8	5	2	0	0	0	0	0	0	
2	2014	5	11	0	0	0	0	0	0	0	
3	2014	40	18	1	0	0	0	0	0	0	
4	2014	29	13	1	0	0	0	0	0	0	
5	2014	53	12	5	0	0	0	0	0	0	
6	2014	38	13	1	0	0	0	0	0	0	
7	2014	34	2	1	0	0	0	0	0	0	
8	2014	10	10	0	0	0	0	0	0	0	
9	2014	24	6	0	0	0	0	0	0	0	
10	2014	23	5	0	0	0	0	0	0	0	
11	2014	14	1	0	0	0	0	0	0	0	
12	2014	27	3	5	0	0	0	0	0	0	
1	2015	33	4	1	0	0	1	1	2	0	
2	2015	17	5	0	0	0	2	2	0	0	
3	2015	22	8	5	0	0	3	11	1	0	
4	2015	17	9	1	0	0	1	9	0	0	
5	2015	17	5	2	0	0	2	9	1	0	
6	2015	23	7	6	0	0	5	7	1	0	
7	2015	8	0	0	0	0	0	0	0	0	
8	2015	12	1	1	0	0	3	8	1	0	
9	2015	21	0	7	0	0	0	4	3	1	
10	2015	12	3	1	0	0	0	1	0	1	
11	2015	10	1	3	5	3	3	0	2	2	
12	2015	23	2	5	6	3	0	12	2	2	
1	2016	15	0	0	7	1	0	8	0	0	
2	2016	18	6	3	6	2	0	3	0	0	
3	2016	40	4	3	22	0	2	3	0	1	
4	2016	12	5	4	22	6	2	6	2	0	
5	2016	17	5	2	34	2	5	4	1	2	
6	2016	33	5	8	12	5	9	6	3	1	
7	2016	14	2	6	11	5	1	3	2	0	
8	2016	14	2	3	20	8	1	4	2	0	
9	2016	25	2	2	11	2	7	10	1	1	
10	2016	10	0	1	4	3	2	0	0	0	
11	2016	18	1	1	20	3	1	0	0	0	
12	2016	31	7	3	24	4	5	0	0	2	
1	2017	9	5	2	20	0	0	0	0	0	
2	2017	22	9	0	16	0	2	4	0	0	
3	2017	55	6	1	21	5	6	11	1	1	
4	2017	59	9	0	23	8	1	4	0	0	
5	2017	68	4	1	23	4	3	9	1	0	
6	2017	75	6	0	26	2	6	0	0	0	
7	2017	72	8	0	15	4	2	12	1	4	
8	2017	55	7	0	13	6	3	0	1	1	
9	2017	70	13	0	21	8	4	0	0	0	
